album_id,album_name,album_release_date,album_total_tracks,album_url
15XcLhiVMlSOipUddTNDnr,MUSE,2024-07-19,7,https://open.spotify.com/album/15XcLhiVMlSOipUddTNDnr
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
5quMTd5zeI9yW5UDua8wS4,Espresso,2024-04-12,1,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4
5bBaoign62r1i7OV8w7mi9,Please Please Please,2024-06-06,2,https://open.spotify.com/album/5bBaoign62r1i7OV8w7mi9
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,2024-05-04,1,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ
5tSQtQGkrCJx3hoQxmLgfM,Gata Only,2024-02-02,1,https://open.spotify.com/album/5tSQtQGkrCJx3hoQxmLgfM
1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",2024-04-05,1,https://open.spotify.com/album/1WAjjRMfZjEXtB0lQrAw6Q
5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido,2024-06-21,1,https://open.spotify.com/album/5ylbxH7EqpsmHZCRuiYewS
168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,2024-04-05,15,https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
0DLvFVIfwt3OHdK9kGeEM3,"Where I've Been, Isn't Where I'm Going",2024-05-31,12,https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3
3P4SQqMMgjqfqVxgLwtYRk,Unreal Unearth: Unheard,2024-03-22,20,https://open.spotify.com/album/3P4SQqMMgjqfqVxgLwtYRk
2m0euKZUDcoyEXHIS5MFCq,Alibi (with Pabllo Vittar & Yseult),2024-06-28,1,https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq
1woYXxyyxTQJ0E0AhZE6mj,I Had Some Help,2024-05-10,1,https://open.spotify.com/album/1woYXxyyxTQJ0E0AhZE6mj
2Z1gnUf3nbn6DtwZSUIH54,MILLION DOLLAR BABY,2024-04-26,2,https://open.spotify.com/album/2Z1gnUf3nbn6DtwZSUIH54
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB
3VNxRarx9HUI5w7DHv0TBj,Stargazing,2024-05-10,1,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj
4JDXBZdRPId4devseaAOKH,DECIDE,2022-09-16,13,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH
20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21,12,https://open.spotify.com/album/20RMokVwJ2wjQ0s8FOdOFC
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
4M8ThNHbNjda2cPwL8XZHS,Move,2024-06-07,1,https://open.spotify.com/album/4M8ThNHbNjda2cPwL8XZHS
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,2024-03-08,13,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK
3kjHLu1pL7tdY88GFwEkl6,The Death of Slim Shady (Coup De Grâce),2024-07-12,19,https://open.spotify.com/album/3kjHLu1pL7tdY88GFwEkl6
4sD1qg4jwTZR4mvR4Iflk5,Strange Trails,2015-04-06,14,https://open.spotify.com/album/4sD1qg4jwTZR4mvR4Iflk5
5nzSCZ7NhKvAysI0tmNOdD,yustyna,2024-07-11,14,https://open.spotify.com/album/5nzSCZ7NhKvAysI0tmNOdD
3EWJoKrG9XnCjvAPzkQZ88,EL ÚLTIMO BAILE,2024-05-23,13,https://open.spotify.com/album/3EWJoKrG9XnCjvAPzkQZ88
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
40HsqPqeSR9Xe3IyAJWr6e,What Happens Now?,2024-02-16,8,https://open.spotify.com/album/40HsqPqeSR9Xe3IyAJWr6e
4xkM0BwLM9H2IUcbYzpcBI,I Love You.,2013-04-19,11,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,2008-05-26,10,https://open.spotify.com/album/1CEODgTmTwLyabvwd7HBty
3PlCMwyq6nuQYtoYproV1o,Belong Together,2024-02-16,1,https://open.spotify.com/album/3PlCMwyq6nuQYtoYproV1o
